id,name,gender,year,place,url,image
12051,"Salgado, Sebastião",Male,1944,"Aimorés, Brasil",http://www.tate.org.uk/art/artists/sebastiao-salgado-12051,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
12796,"Suga, Kishio",Male,1944,"Morioka, Nihon",http://www.tate.org.uk/art/artists/kishio-suga-12796,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1117,"Freiles, Antonio",Male,1943,,http://www.tate.org.uk/art/artists/antonio-freiles-1117,http://www.tate.org.uk/art/images/work/P/P02/P02517_7.jpg
679,"Ayot, Pierre",Male,1943,"Québec, Canada",http://www.tate.org.uk/art/artists/pierre-ayot-679,http://www.tate.org.uk/art/images/work/P/P03/P03166_7.jpg
1345,"Jacklin, Bill",Male,1943,"London, United Kingdom",http://www.tate.org.uk/art/artists/bill-jacklin-1345,http://www.tate.org.uk/art/images/work/P/P06/P06657_7.jpg
2705,"Beard, John",Male,1943,"Aberdare, United Kingdom",http://www.tate.org.uk/art/artists/john-beard-2705,http://www.tate.org.uk/art/images/work/P/P20/P20179_7.jpg
2389,"Pacheco, Ana Maria",Female,1943,"Goiás, Brasil",http://www.tate.org.uk/art/artists/ana-maria-pacheco-2389,http://www.tate.org.uk/art/images/work/P/P77/P77825_7.jpg
1337,"Inshaw, David",Male,1943,"Staffordshire, United Kingdom",http://www.tate.org.uk/art/artists/david-inshaw-1337,http://www.tate.org.uk/art/images/work/T/T03/T03189_7.jpg
2147,"Willats, Stephen",Male,1943,"London, United Kingdom",http://www.tate.org.uk/art/artists/stephen-willats-2147,http://www.tate.org.uk/art/images/work/T/T03/T03296_7.jpg
2670,"Messager, Annette",Female,1943,"Berck, France",http://www.tate.org.uk/art/artists/annette-messager-2670,http://www.tate.org.uk/art/images/work/T/T07/T07436_7.jpg
805,"Breakwell, Ian",Male,1943,"Derby, United Kingdom",http://www.tate.org.uk/art/artists/ian-breakwell-805,http://www.tate.org.uk/art/images/work/T/T07/T07701_7.jpg
2746,"Martin, Barry",Male,1943,"Amersham, United Kingdom",http://www.tate.org.uk/art/artists/barry-martin-2746,http://www.tate.org.uk/art/images/work/T/T07/T07884_7.jpg
6758,"Dittborn, Eugenio",Male,1943,"Santiago, Chile",http://www.tate.org.uk/art/artists/eugenio-dittborn-6758,http://www.tate.org.uk/art/images/work/T/T11/T11828_7.jpg
9377,"Plackman, Carl",Male,1943,"Huddersfield, United Kingdom",http://www.tate.org.uk/art/artists/carl-plackman-9377,http://www.tate.org.uk/art/images/work/T/T12/T12213_7.jpg
7732,"Matta-Clark, Gordon",Male,1943,"New York, United States",http://www.tate.org.uk/art/artists/gordon-matta-clark-7732,http://www.tate.org.uk/art/images/work/T/T14/T14658_7.jpg
1240,"Hall, Nigel",Male,1943,"Bristol, United Kingdom",http://www.tate.org.uk/art/artists/nigel-hall-1240,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
6085,"Hammons, David",Male,1943,"Springfield, United States",http://www.tate.org.uk/art/artists/david-hammons-6085,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1361,"Jesih, Boris",Male,1943,"Škofja Loka, Slovenija",http://www.tate.org.uk/art/artists/boris-jesih-1361,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1522,"Logan, Peter",Male,1943,"Witney, United Kingdom",http://www.tate.org.uk/art/artists/peter-logan-1522,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1726,"Orr, Chris",Male,1943,"London, United Kingdom",http://www.tate.org.uk/art/artists/chris-orr-1726,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1730,"Ovenden, Graham",Male,1943,"Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/graham-ovenden-1730,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2317,"Palermo, Blinky",Male,1943,"Leipzig, Deutschland",http://www.tate.org.uk/art/artists/blinky-palermo-peter-heisterkamp-2317,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
7017,"Turrell, James",Male,1943,"Pasadena, United States",http://www.tate.org.uk/art/artists/james-turrell-7017,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
13771,"Zabala, Horacio",Male,1943,"Buenos Aires, Argentina",http://www.tate.org.uk/art/artists/horacio-zabala-13771,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
7743,"Weiner, Lawrence",Male,1942,"Bronx, United States",http://www.tate.org.uk/art/artists/lawrence-weiner-7743,http://www.tate.org.uk/art/images/work/AR/AR00131_7.jpg
1163,Gilbert & George,Male,1942,,http://www.tate.org.uk/art/artists/gilbert-george-1163,http://www.tate.org.uk/art/images/work/AR/AR00170_7.jpg
2271,"Masi, Denis",Male,1942,"West Virginia, United States",http://www.tate.org.uk/art/artists/denis-masi-2271,http://www.tate.org.uk/art/images/work/P/P02/P02226_7.jpg
1635,"Millington, Terence",Male,1942,"Birmingham, United Kingdom",http://www.tate.org.uk/art/artists/terence-millington-1635,http://www.tate.org.uk/art/images/work/P/P03/P03157_7.jpg
